total_consumption;date;hour
2.133;10.04.2022;7
3.533;10.04.2022;8
4.439;10.04.2022;9
3.554;10.04.2022;10
3.882;10.04.2022;11
5.366;10.04.2022;12
7.59;10.04.2022;13
5.999;10.04.2022;14
5.012;10.04.2022;15
3.627;10.04.2022;16
3.483;10.04.2022;17
5.104;10.04.2022;18
7.419;10.04.2022;19
6.042;10.04.2022;20
6.018;10.04.2022;21
5.606;10.04.2022;22
3.609;10.04.2022;23
2.028;10.04.2022;24
102.164;10.04.2022;Kokku
2.059;11.04.2022;1
2.057;11.04.2022;2
1.981;11.04.2022;3
2.173;11.04.2022;4
3.048;11.04.2022;5
2.289;11.04.2022;6
2.48;11.04.2022;7
2.938;11.04.2022;8
3.442;11.04.2022;9
3.093;11.04.2022;10
2.303;11.04.2022;11
3.367;11.04.2022;12
4.208;11.04.2022;13
2.831;11.04.2022;14
3.256;11.04.2022;15
4.489;11.04.2022;16
4.638;11.04.2022;17
4.015;11.04.2022;18
4.173;11.04.2022;19
5.274;11.04.2022;20
6.026;11.04.2022;21
4.681;11.04.2022;22
2.205;11.04.2022;23
2.335;11.04.2022;24
79.361;11.04.2022;Kokku
2.289;12.04.2022;1
1.795;12.04.2022;2
1.987;12.04.2022;3
2.035;12.04.2022;4
2.133;12.04.2022;5
2.586;12.04.2022;6
3.295;12.04.2022;7
3.492;12.04.2022;8
4.295;12.04.2022;9
2.77;12.04.2022;10
1.76;12.04.2022;11
2.473;12.04.2022;12
3.291;12.04.2022;13
